2024-03-01 03:07:23 startup archives unpack
2024-03-01 03:07:23 install xrdp:amd64 <none> 0.9.12-1ubuntu0.1
2024-03-01 03:07:23 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.14
2024-03-01 03:07:23 status half-installed xrdp:amd64 0.9.12-1ubuntu0.1
2024-03-01 03:07:23 status triggers-pending systemd:amd64 245.4-4ubuntu3.22
2024-03-01 03:07:23 status triggers-pending man-db:amd64 2.9.1-1
2024-03-01 03:07:23 status unpacked xrdp:amd64 0.9.12-1ubuntu0.1
2024-03-01 03:07:23 install xorgxrdp:amd64 <none> 1:0.2.12-1
2024-03-01 03:07:23 status half-installed xorgxrdp:amd64 1:0.2.12-1
2024-03-01 03:07:23 status unpacked xorgxrdp:amd64 1:0.2.12-1
2024-03-01 03:07:23 startup packages configure
2024-03-01 03:07:23 configure xrdp:amd64 0.9.12-1ubuntu0.1 <none>
2024-03-01 03:07:23 status unpacked xrdp:amd64 0.9.12-1ubuntu0.1
2024-03-01 03:07:23 status half-configured xrdp:amd64 0.9.12-1ubuntu0.1
2024-03-01 03:07:26 status installed xrdp:amd64 0.9.12-1ubuntu0.1
2024-03-01 03:07:26 configure xorgxrdp:amd64 1:0.2.12-1 <none>
2024-03-01 03:07:26 status unpacked xorgxrdp:amd64 1:0.2.12-1
2024-03-01 03:07:26 status half-configured xorgxrdp:amd64 1:0.2.12-1
2024-03-01 03:07:26 status installed xorgxrdp:amd64 1:0.2.12-1
2024-03-01 03:07:26 trigproc systemd:amd64 245.4-4ubuntu3.22 <none>
2024-03-01 03:07:26 status half-configured systemd:amd64 245.4-4ubuntu3.22
2024-03-01 03:07:26 status installed systemd:amd64 245.4-4ubuntu3.22
2024-03-01 03:07:26 trigproc man-db:amd64 2.9.1-1 <none>
2024-03-01 03:07:26 status half-configured man-db:amd64 2.9.1-1
2024-03-01 03:07:28 status installed man-db:amd64 2.9.1-1
2024-03-01 03:07:28 trigproc libc-bin:amd64 2.31-0ubuntu9.14 <none>
2024-03-01 03:07:28 status half-configured libc-bin:amd64 2.31-0ubuntu9.14
2024-03-01 03:07:28 status installed libc-bin:amd64 2.31-0ubuntu9.14
2024-03-01 03:15:44 startup archives unpack
2024-03-01 03:15:44 install java-common:all <none> 0.72
2024-03-01 03:15:44 status half-installed java-common:all 0.72
2024-03-01 03:15:44 status triggers-pending man-db:amd64 2.9.1-1
2024-03-01 03:15:44 status unpacked java-common:all 0.72
2024-03-01 03:15:44 install openjdk-11-jre-headless:amd64 <none> 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:44 status half-installed openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 status unpacked openjdk-11-jre-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 install default-jre-headless:amd64 <none> 2:1.11-72
2024-03-01 03:15:51 status half-installed default-jre-headless:amd64 2:1.11-72
2024-03-01 03:15:51 status unpacked default-jre-headless:amd64 2:1.11-72
2024-03-01 03:15:51 install ca-certificates-java:all <none> 20190405ubuntu1.1
2024-03-01 03:15:51 status triggers-pending ca-certificates:all 20230311ubuntu0.20.04.1
2024-03-01 03:15:51 status half-installed ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:15:51 status unpacked ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:15:51 install openjdk-11-jre:amd64 <none> 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 status half-installed openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu1
2024-03-01 03:15:51 status triggers-pending desktop-file-utils:amd64 0.24-1ubuntu3
2024-03-01 03:15:51 status triggers-pending mime-support:all 3.64ubuntu1
2024-03-01 03:15:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2024-03-01 03:15:51 status unpacked openjdk-11-jre:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 install default-jre:amd64 <none> 2:1.11-72
2024-03-01 03:15:51 status half-installed default-jre:amd64 2:1.11-72
2024-03-01 03:15:51 status unpacked default-jre:amd64 2:1.11-72
2024-03-01 03:15:51 install openjdk-11-jdk-headless:amd64 <none> 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:51 status half-installed openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:58 status unpacked openjdk-11-jdk-headless:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:58 install default-jdk-headless:amd64 <none> 2:1.11-72
2024-03-01 03:15:58 status half-installed default-jdk-headless:amd64 2:1.11-72
2024-03-01 03:15:58 status unpacked default-jdk-headless:amd64 2:1.11-72
2024-03-01 03:15:58 install openjdk-11-jdk:amd64 <none> 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:58 status half-installed openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:58 status unpacked openjdk-11-jdk:amd64 11.0.22+7-0ubuntu2~20.04.1
2024-03-01 03:15:59 install default-jdk:amd64 <none> 2:1.11-72
2024-03-01 03:15:59 status half-installed default-jdk:amd64 2:1.11-72
2024-03-01 03:15:59 status unpacked default-jdk:amd64 2:1.11-72
2024-03-01 03:15:59 install fonts-dejavu-extra:all <none> 2.37-1
2024-03-01 03:15:59 status half-installed fonts-dejavu-extra:all 2.37-1
2024-03-01 03:15:59 status triggers-pending fontconfig:amd64 2.13.1-2ubuntu3
2024-03-01 03:15:59 status unpacked fonts-dejavu-extra:all 2.37-1
